pgq_id,dist_arcsec,ra,dec,phot_bmag,pg_class,z,fiberID,plate,mjd,bestobjid,specobjid,nspec
12,0.16360023956107,29.95938,0.3946667,15.2,QSO,0.16348959999999998,550,403,51871,1237657071160262668,453888876696594432,2
12,0.100284232440486,29.95938,0.3946667,15.2,QSO,0.16280799999999998,1,9390,58103,1237657071160262668,10572200536077258752,2
20,0.0529094238283467,141.47799999999998,19.90142,16.04,QSO,0.1926965,130,2289,53708,1237667292116615199,2577220683100612608,2
20,0.0612021215596085,141.47799999999998,19.90142,16.04,QSO,0.19209489999999999,212,9561,57809,1237667292116615199,10764787414453211136,2
28,0.13305017832257698,151.0839,5.216805,16.13,QSO,0.1601164,4,995,52731,1237658422476144713,1120271552638642176,1
34,0.0330597152447312,156.3803,51.676359999999995,16.12,Sey,0.04458556,558,1008,52707,1237657590852681764,1135060533385390080,1
35,0.0670121334074417,162.9329,33.99075,15.81,QSO,0.1670667,637,2025,53431,1237665129609756690,2280122466145691648,2
35,0.0672893818616494,162.9329,33.99075,15.81,QSO,0.1671385,560,10268,58487,1237665129609756690,11560894317477515264,2
41,0.0328487546391759,169.2767,44.22592,16.05,QSO,0.14373010000000003,378,1365,53062,1237661851464499273,1536957328060868608,1
43,0.0427472702100156,169.6262,40.431670000000004,16.02,Sey,0.15481140000000002,204,1440,53084,1237662193447665730,1621351992687355904,1
44,0.122644317023135,169.7861,21.32167,15.17,QSO,0.1756461,516,6430,56299,1237667734502637678,7239678343679070208,1
46,0.0776061249525009,171.1633,42.02919,16.02,QSO,0.2248686,358,1443,53055,1237662195058933794,1624772023119013888,1
59,0.0827028142671211,188.0151,20.15819,14.65,Sey,0.06355042,342,2613,54481,1237668298205364227,2942070540002682880,1
61,0.280678916328328,191.6468,2.3690279999999997,16.15,QSO,0.04813080000000001,173,522,52024,1237671763713851428,587767339206862848,1
65,0.23604838998105399,195.3038,59.03519,15.6,QSO,0.47619170000000005,20,957,52398,1237658311332790349,1077491748638320640,1
67,0.0533531313816439,197.4458,8.330055,15.28,QSO,0.153836,457,1795,54507,1237661972801585176,2021116027600922624,1
68,0.0373987578324011,198.074,35.25586,15.45,QSO,0.18295279999999997,61,2016,53799,1237665129622339736,2269831043483723776,1
75,0.0477246457662787,208.5268,23.43039,15.87,QSO,0.05523464,517,2783,54524,1237665566604525581,3133521628521064448,1
82,0.0774433605825045,211.5912,22.396279999999997,15.82,QSO,0.09831072,10,2784,54529,1237667911140835354,3134508165412972544,1
98,0.110250894510835,233.9684,57.90266999999999,15.54,Sey,0.030220099999999996,83,615,52345,1237654949448450067,692451296917088256,2
98,0.110250894510835,233.9684,57.90266999999999,15.54,Sey,0.03022659,108,615,52347,1237654949448450067,692458168898316288,2
101,0.19090795047912199,236.37599999999998,48.76917,16.05,QSO,0.39982399999999996,355,812,52352,1237659327097864217,914328345473214464,2
101,0.0739841034079178,236.37599999999998,48.76917,16.05,QSO,0.39967140000000007,896,8429,57893,1237659327097864217,9490456737804996608,2
104,0.130467210633319,243.555,26.071189999999998,16.0,QSO,0.1309488,35,1393,52824,1237662618653098133,1568388238337402880,1
111,0.068471595582613,256.1724,60.74181,15.9,QSO,0.3715231,377,353,51703,1237651225171132471,397546324657989632,1
118,0.0118977700498671,339.032,13.73206,16.04,QSO,0.325743,383,739,52264,1237656242236948506,832145347378702336,2
118,0.0118977700498671,339.032,13.73206,16.04,QSO,0.3257094,388,739,52520,1237656242236948506,832146726063204352,2
