int_id,dist_arcsec,ra,dec,g,z,fiberID,plate,mjd,bestobjid,specobjid
1,0.0136043633961521,118.0743,19.59508,15.92508,0.1170068,612,1582,52939,1237661125071208589,1781341927212345344
2,0.081081306970927,178.8973,12.88167,16.95386,0.121609,469,1610,53144,1237661813346009111,1812827820502575104
3,0.101140893981165,144.3691,32.76347,16.35206,0.1269882,466,1943,53386,1237664870287736963,2187751668907534336
4,0.0533373645916477,208.5268,23.43039,16.31171,0.05523464,517,2783,54524,1237665566604525581,3133521628521064448
5,0.0307332193589576,231.4939,18.23782,16.65883,0.1299694,483,2794,54537,1237665566614159471,3145897181865601024
6,0.0498003077232385,241.3321,14.81452,16.69633,0.3722553,468,2524,54568,1237665566618550423,2841900084369582080
7,0.0612387043309703,175.7751,18.72858,16.76234,0.3743551,9,2506,54179,1237667914342793240,2821507710560790528
8,0.00312834795410059,2.395248,18.06195,16.65883,0.3096726,207,7594,56947,1237679457073627157,8550140908842274816
9,0.0571144489940366,185.0495,2.061729,15.87744,0.2402315,280,519,52283,1237651735759159344,584419055767676928
10,0.0832432755860367,137.5417,48.22825,16.87082,0.1169703,58,765,52254,1237657772316622887,861329409469081600
10,0.0174251059885992,137.5417,48.22825,16.87082,0.1164524,610,7314,56990,1237657772316622887,8234999711444258816
11,0.0684145728990364,228.8969,48.09183,16.41499,0.311276,98,1330,52822,1237659162269777994,1497473861480900608
11,0.0223446231047094,228.8969,48.09183,16.41499,0.311537,220,8431,57482,1237659162269777994,9492522713258151936
12,0.0111237287262719,161.6762,39.33834,16.41776,0.3902647,134,1433,53035,1237661382241353805,1613451451063887872
12,0.0109938333845166,161.6762,39.33834,16.41776,0.3900391,521,8821,57731,1237661382241353805,9931706419354292224
13,0.0360970175798367,222.1046,35.99629,16.96139,0.1133184,476,1383,53116,1237662194539298898,1557250465324886016
13,0.0336435512181446,222.1046,35.99629,16.96139,0.1132963,682,10751,58220,1237662194539298898,12104737503107633152
14,0.0469639941661495,171.1633,42.02917,15.97791,0.2248686,358,1443,53055,1237662195058933794,1624772023119013888
15,0.0415683049549494,154.9562,33.3677,16.28752,0.02291058,136,1955,53442,1237664337708187670,2201171759019878400
16,0.0294719540229794,176.6918,37.25325,16.86649,0.2947017,59,1997,53442,1237664338252988445,2248438389508433920
16,0.0104871563973588,176.6918,37.25325,16.86649,0.2951808,959,8873,57427,1237664338252988445,9990373605933076480
17,0.119900273152668,211.7516,28.45408,16.05963,0.07700984,443,2123,53793,1237665430243704865,2390407336775673856
18,0.0623640110066472,232.9219,20.32497,16.6885,0.04937034,457,2164,53886,1237665440994427031,2436573082807199744
19,0.0247985389570555,246.768,14.35689,16.99149,0.1490557,592,2202,53566,1237665441000784065,2479394382415947776
