pgq_id,dist_arcsec,ra,dec,phot_bmag,pg_class,z,fiberID,plate,mjd,bestobjid,specobjid
12,0.16360023956107,29.95938,0.3946667,15.2,QSO,0.1634896,550,403,51871,1237657071160262668,453888876696594432
12,0.100284232440486,29.95938,0.3946667,15.2,QSO,0.162808,1,9390,58103,1237657071160262668,10572200536077258752
14,0.0518333723357273,128.8992,24.9945,15.9,QSO,0.3304307,610,1928,53327,1237664668424208545,2170902751733639168
14,0.0889020807243132,128.8992,24.9945,15.9,QSO,0.3297258,292,9606,58103,1237664668424208545,10815474905426186240
17,0.0690246785033972,137.5417,48.22828,16.46,QSO,0.1169703,58,765,52254,1237657772316622887,861329409469081600
17,0.130479494227067,137.5417,48.22828,16.46,QSO,0.1164524,610,7314,56990,1237657772316622887,8234999711444258816
18,0.162957093126388,141.3035,52.28625,15.62,Sey,0.03551709,418,767,52252,1237654653644243029,863680165295712256
19,0.0459887452352654,141.5136,12.73436,14.93,Sey,0.02878478,195,2578,54093,1237671261202219152,2902623629701310464
20,0.0529094238283467,141.478,19.90142,16.04,QSO,0.1926965,130,2289,53708,1237667292116615199,2577220683100612608
20,0.0612021215596085,141.478,19.90142,16.04,QSO,0.1920949,212,9561,57809,1237667292116615199,10764787414453211136
21,0.0530929497376299,143.7606,43.51964,16.41,QSO,0.4562829,80,870,52325,1237657628442951821,979554948192692224
21,0.0530929497376299,143.7606,43.51964,16.41,QSO,0.4569354,321,940,52670,1237657628442951821,1058434193035388928
21,0.135464919407966,143.7606,43.51964,16.41,QSO,0.4574838,764,4638,55956,1237657628442951821,5222133874583425024
22,0.0999943156324751,144.2544,1.095472,16.29,Sey,0.05024875,529,476,52027,1237651752920940614,536073800077305856
22,0.0999943156324751,144.2544,1.095472,16.29,Sey,0.05026412,523,476,52314,1237651752920940614,536072155624925184
23,0.00379147925360287,144.7376,41.47256,16.3,QSO,1.95383,85,940,52670,1237657873256677409,1058369321849350144
23,0.00379147923030831,144.7376,41.47256,16.3,QSO,1.954328,635,4571,55629,1237657873256677409,5146663116088823808
23,0.0498064209942639,144.7376,41.47256,16.3,QSO,1.954008,79,8299,57346,1237657873256677409,9343865165488345088
24,0.0488783864471406,144.9356,39.40081,16.3,QSO,0.4545194,150,1215,52725,1237660343399481397,1368009664217769984
24,0.0513716624964771,144.9356,39.40081,16.3,QSO,0.4551418,636,8833,57779,1237660343399481397,9945248830001008640
25,0.110478316940869,147.4213,29.92203,16,QSO,1.220785,408,1947,53431,1237665099002544196,2192239326371276800
26,0.0601413190608121,147.7016,39.44736,16.4,QSO,0.2055347,332,1277,52765,1237660765919051807,1437865486892165120
28,0.133050178322577,151.0839,5.216805,16.13,QSO,0.1601164,4,995,52731,1237658422476144713,1120271552638642176
29,0.107847559462181,151.0109,28.92647,15.67,QSO,0.3291404,522,2345,53757,1237665126920486976,2640378830845405184
29,0.166983912684437,151.0109,28.92647,15.67,QSO,0.3288024,658,10449,58137,1237665126920486976,11764709132778885120
30,0.0432638695659928,151.8587,12.81561,15.93,QSO,0.2407427,630,1744,53055,1237661069785956459,1963742661869332480
31,0.0446145019119095,152.7953,13.07006,16.24,QSO,1.293308,477,1745,53061,1237664106316759054,1964826505557075968
34,0.0330597152447312,156.3803,51.67636,16.12,Sey,0.04458556,558,1008,52707,1237657590852681764,1135060533385390080
35,0.0670121334074417,162.9329,33.99075,15.81,QSO,0.1670667,637,2025,53431,1237665129609756690,2280122466145691648
35,0.0672893818616494,162.9329,33.99075,15.81,QSO,0.1671385,560,10268,58487,1237665129609756690,11560894317477515264
37,0.21414674338176,162.9643,-0.8549445,15.95,QSO,0.3589468,251,276,51909,1237648720149544981,310817400670939136
39,0.0844850804412665,166.6324,-0.8812222,16.02,QSO,0.4236993,710,3773,55240,1237648720151117971,4248215599745093632
40,0.067496457845056,168.7751,42.83025,16.2,QSO,0.3010298,105,1364,53061,1237661849853624360,1535756386468653056
40,0.0714932630154951,168.7751,42.83025,16.2,QSO,0.3015755,786,8367,57429,1237661849853624360,9420620699226361856
41,0.0328487546391759,169.2767,44.22592,16.05,QSO,0.1437301,378,1365,53062,1237661851464499273,1536957328060868608
42,0.0453432149381974,169.5706,7.766167,15.84,QSO,1.732991,467,1617,53112,1237661972252590209,1820708569557788672
43,0.0427472702100156,169.6262,40.43167,16.02,Sey,0.1548114,204,1440,53084,1237662193447665730,1621351992687355904
44,0.122644317023135,169.7861,21.32167,15.17,QSO,0.1756461,516,6430,56299,1237667734502637678,7239678343679070208
46,0.0776061249525009,171.1633,42.02919,16.02,QSO,0.2248686,358,1443,53055,1237662195058933794,1624772023119013888
48,0.0763519855559624,175.3189,3.783222,16.05,QSO,1.883669,47,838,52378,1237655123931496497,943517081091991552
48,0.0748989684980126,175.3189,3.783222,16.05,QSO,1.88148,326,4766,55677,1237655123931496497,5366128661455196160
49,0.0443430061848897,177.8353,54.62586,15.82,QSO,0.9744135,187,1017,52706,1237657590321578011,1145091652826720256
