bg_id,obj_tag,typ,Mag_U,Mag_B,Mag_V,Mag_R,Mag_I,spec_type,ra,dec
10,2E 12,Sy1,     ~,16.51,16.40,     ~,     ~,~              ,1.49682,16.1636
20,Mrk 335,Sy1,     ~,14.19,13.85,     ~,     ~,~              ,1.5814,20.2029
30,Mrk 1501,Sy1,     ~,15.96,15.40,12.22,     ~,~              ,2.62919,10.9749
40,2E 93,Sy1,     ~,15.70,15.41,     ~,     ~,~              ,7.30709,13.2678
50,QSO B0043+0354,Sy1,     ~,15.88,16.00,     ~,     ~,~              ,11.4468,4.17316
60,Mrk 1148,Sy1,     ~,16.44,15.96,     ~,     ~,~              ,12.9782,17.4329
70,Mrk 1502,Sy1,     ~,14.41,14.03,     ~,     ~,~              ,13.3956,12.6933
80,2E 217,Sy1,     ~,     ~,15.42,     ~,     ~,~              ,13.7172,25.4275
90,Mrk 1014,Sy1,     ~,16.08,15.87,     ~,     ~,~              ,29.9594,0.394687
100,2E 1919,Sy1,     ~,15.03,14.71,     ~,     ~,~              ,122.744,76.0451
110,MCG+13-07-002,Sy1,     ~,     ~,15.7,     ~,     ~,~              ,131.189,76.886
120,Ton 951,Sy1,     ~,14.83,14.50,     ~,     ~,~              ,131.927,34.7512
130,Mrk 110,Sy1,     ~,16.82,16.41,     ~,     ~,~              ,141.304,52.2862
140,Ton 1057,Sy1,     ~,16.02,15.89,     ~,     ~,~              ,141.478,19.9014
150,Mrk 705,Sy1,     ~,15.15,14.60,     ~,     ~,~              ,141.514,12.7344
160,Mrk 707,Sy1,     ~,16.86,16.64,     ~,     ~,~              ,144.254,1.09549
170,2MASX J09504838+3926503,Sy1,     ~,16.83,16.73,     ~,     ~,~              ,147.702,39.4474
180,PG 0953+414,Sy1,14.710,15.611,15.546,15.294,14.720,~              ,149.218,41.2562
190,2MASS J10042013+0513004,Sy1,     ~,16.73,16.55,     ~,     ~,~              ,151.084,5.21678
200,4C 13.41,Sy1,     ~,15.81,15.68,     ~,     ~,~              ,151.859,12.8156
210,QSO B1011-040,Sy1,     ~,15.49,15.5,     ~,     ~,~              ,153.586,-4.31121
220,2dFGRS TGN357Z241,Sy1,     ~,20.23,18.94,16.104,     ~,~              ,153.729,0.56038
230,Mrk 142,Sy1,     ~,16.33,16.12,     ~,     ~,~              ,156.38,51.6764
240,2E 2340,Sy1,     ~,16.85,16.79,16.5,     ~,~              ,162.875,-9.30283
250,QSO B1048+342,Sy1,     ~,17.11,16.79,     ~,     ~,~              ,162.933,33.9907
260,PG 1049-005,Sy1,     ~,15.98,15.78,     ~,     ~,~              ,162.964,-0.854919
270,2E 2389,Sy1,     ~,15.70,15.72,15.40,     ~,~              ,166.058,76.9828
280,QSO B1103-006,Sy1,     ~,16.39,16.46,     ~,     ~,~              ,166.632,-0.881217
290,2MASSI J1117064+441333,Sy1,     ~,16.32,16.12,     ~,     ~,~              ,169.277,44.2259
300,2MASSI J1118302+402553,Sy1,     ~,16.34,16.21,     ~,     ~,~              ,169.626,40.4317
310,Ton 1388,Sy1,     ~,14.91,14.80,     ~,     ~,~              ,169.786,21.3217
320,IC 2746,Sy2,     ~,15.38,14.93,     ~,     ~,~              ,170.446,11.7386
330,2MASSI J1124392+420144,Sy1,     ~,16.45,16.28,     ~,     ~,~              ,171.163,42.0292
340,Mrk 1298,Sy1,     ~,14.97,14.61,     ~,     ~,~              ,172.32,-4.40201
350,2MASX J11520354-1122242,Sy1,     ~,13.7,15.5,12.5,     ~,~              ,178.015,-11.3734
360,2MASS J11534927+1128306,Sy1,     ~,16.87,16.71,     ~,     ~,~              ,178.455,11.4751
370,2E 2584,Sy1,     ~,15.64,15.60,     ~,     ~,~              ,181.175,27.9033
380,PB 3894,Sy1,     ~,14.46,14.19,     ~,     ~,~              ,183.574,14.0537
390,PG 1216+069,Sy1,     ~,15.68,15.65,     ~,     ~,~              ,184.837,6.64402
400,3C 273,BLL,     ~,13.05,14.830,14.11,     ~,~              ,187.278,2.05239
410,Mrk 771,Sy1,     ~,15.57,15.30,     ~,     ~,~              ,188.015,20.1582
420,LBQS 1244+0238,Sy1,     ~,16.57,16.37,     ~,     ~,~              ,191.647,2.36911
430,LB 2522,Sy1,     ~,16.04,15.89,     ~,     ~,~              ,195.304,59.0352
440,ICRF J130533.0-103319,Sy1,     ~,15.18,15.23,14.46,     ~,~              ,196.388,-10.5554
450,2E 2978,Sy1,     ~,16.04,15.89,     ~,     ~,~              ,197.446,8.33006
460,Ton 1565,Sy1,     ~,15.45,15.64,14.2,     ~,~              ,198.074,35.2559
470,2MASX J13130580-1107424,Sy1,     ~,15.48,15.15,13.4,     ~,~              ,198.274,-11.1284
480,2XMM J132349.6+654148,Sy1,     ~,16.01,15.84,     ~,     ~,~              ,200.956,65.6967
490,Ton 730,Sy1,     ~,16.48,16.6,     ~,     ~,~              ,205.986,25.6466
500,2XMM J135315.8+634546,Sy1,     ~,14.54,14.28,     ~,     ~,~              ,208.316,63.7627
510,Mrk 662,Sy1,     ~,16.06,15.37,     ~,     ~,~              ,208.527,23.4304
520,PB 4142,Sy1,     ~,16.84,16.68,     ~,     ~,~              ,208.649,18.0882
530,2MASSI J1356327+210352,Sy1,     ~,15.85,17.07,     ~,     ~,~              ,209.137,21.0645
540,Ton 182,Sy1,     ~,15.42,15.34,     ~,     ~,~              ,211.318,25.9261
550,2MASX J14062191+2223462,Sy1,     ~,16.62,16.42,     ~,     ~,~              ,211.591,22.3963
560,2MASS J14134834+4400141,Sy1,     ~,14.99,14.99,     ~,     ~,~              ,213.451,44.0039
570,2MASSI J1417008+445606,Sy1,     ~,16.93,16.63,     ~,     ~,~              ,214.253,44.9351
580,2E 3238,Sy1,     ~,16.46,16.10,16.50,     ~,~              ,214.766,-13.1791
590,Ton 202,Sy1,     ~,15.96,16.00,     ~,     ~,~              ,216.898,26.5374
600,Mrk 1383,Sy1,     ~,15.21,14.87,     ~,     ~,~              ,217.277,1.28504
610,2MASSI J1429430+474726,Sy1,     ~,17.29,16.97,     ~,     ~,~              ,217.429,47.7906
620,2E 3305,Sy1,     ~,16.13,16.01,15.5,     ~,~              ,219.567,-6.97241
630,Mrk 478,Sy1,     ~,14.91,14.58,     ~,     ~,~              ,220.531,35.4397
640,2MASSI J1446459+403505,Sy1,     ~,16.28,16.11,     ~,     ~,~              ,221.691,40.5849
650,2MASX J14510879+2709272,Sy1,     ~,15.01,15.01,     ~,     ~,~              ,222.787,27.1575
