pgq_id,ra,dec,phot_bmag,z,nspec,fiberID,plate,mjd
12,29.95938,0.3946667,15.2,0.1634896,2,550,403,51871
12,29.95938,0.3946667,15.2,0.162808,2,1,9390,58103
20,141.478,19.90142,16.04,0.1926965,2,130,2289,53708
20,141.478,19.90142,16.04,0.1920949,2,212,9561,57809
35,162.9329,33.99075,15.81,0.1670667,2,637,2025,53431
35,162.9329,33.99075,15.81,0.1671385,2,560,10268,58487
98,233.9684,57.90267,15.54,0.0302201,2,83,615,52345
98,233.9684,57.90267,15.54,0.03022659,2,108,615,52347
101,236.376,48.76917,16.05,0.399824,2,355,812,52352
101,236.376,48.76917,16.05,0.3996714,2,896,8429,57893
118,339.032,13.73206,16.04,0.325743,2,383,739,52264
118,339.032,13.73206,16.04,0.3257094,2,388,739,52520
