# name        ra           dec          phot_bmag comments pg_class Search_Offset     
  "PG 0003+159" 1.49683333   16.16361111  15.96     "PHL 658" QSO      973.8557778295553 
  "PG 0003+199" 1.58141667   20.20294444  13.75     "MK 335" Sey      1215.7298866829929
  "PG 0007+107" 2.62920833   10.97486111  16.11     "III ZW2" QSO      676.8987953428801 
  "PG 0026+129" 7.30708333   13.26777778  14.95     0.142    QSO      906.9106015275685 
  "PG 0043+039" 11.44675     4.17313889   15.88     0.384    QSO      730.4510862822957 
  "PG 0044+031" 11.77470833  3.33191667   15.97     PKS      QSO      733.8386616182651 
  "PG 0049+172" 12.97816667  17.43291667  15.88     "MK 1148" QSO      1296.7385692470739
  "PG 0050+124" 13.39554167  12.69330556  14.39     "I ZW I" Sey      1102.4411763791413
  "PG 0052+252" 13.71716667  25.4275      15.42     0.155    QSO      1720.3943365487519
  "PG 0117+213" 20.07195833  21.56286111  16.05     1.493    QSO      1747.725753295039 
  "PG 0119+229" 20.66908333  23.17083333  15.41     0.053    QSO      1839.9108744995378
  "PG 0157+002" 29.959375    0.39466667   15.2      "MK 1014" QSO      1797.7039862907418
  "PG 0804+762" 122.744375   76.04513889  15.15     0.100    QSO      5849.70143014074  
  "PG 0832+252" 128.89920833 24.9945      15.9      0.331    QSO      7481.431408301538 
  "PG 0838+771" 131.18875    76.886       16.3      0.131    Sey      5915.585274030807 
  "PG 0844+349" 131.926875   34.75125     14.0      "TON 951" Sey      7397.910516103743 
  "PG 0906+484" 137.54170833 48.22827778  16.46     ""       QSO      7166.256288236047 
  "PG 0921+525" 141.30354167 52.28625     15.62     "MK 110" Sey      7111.045912129553 
  "PG 0923+129" 141.513625   12.73436111  14.93     "MK 705" Sey      8386.436233142183 
  "PG 0923+201" 141.478      19.90141667  16.04     0.190    QSO      8241.708628092705 
  "PG 0931+437" 143.76058333 43.51963889  16.41     "0.457 U" QSO      7547.599283597553 
  "PG 0934+013" 144.254375   1.09547222   16.29     0.050    Sey      8654.3897072485   
  "PG 0935+417" 144.73758333 41.47255556  16.3      "1.937 K" QSO      7663.159012836867 
  "PG 0936+396" 144.93558333 39.40080556  16.3      "0.458 K" QSO      7754.001043745363 
  "PG 0946+302" 147.42129167 29.92202778  16.0      1.216    QSO      8214.850070698492 
  "PG 0947+397" 147.701625   39.44736111  16.4      "0.206 K" QSO      7844.86585330044  
  "PG 0953+415" 149.21829167 41.25616667  15.05     "0.239 K" QSO      7813.820806327327 
  "PG 1001+055" 151.083875   5.21680556   16.13     0.161    QSO      9039.426458084103 
  "PG 1001+292" 151.01091667 28.92647222  15.67     T28,.329 QSO      8397.538443132515 
  "PG 1004+131" 151.85875    12.81561111  15.93     4C13.41  QSO      8957.791350447971 
  "PG 1008+133" 152.79525    13.07005556  16.24     1.277    QSO      9002.153814859921 
  "PG 1011-041" 153.58616667 -4.31119444  15.49     0.058    QSO      9195.697433820515 
  "PG 1012+008" 153.72875    0.56038889   15.89     0.185    QSO      9223.391918413527 
  "PG 1022+519" 156.38033333 51.67636111  16.12     "MK 142" Sey      7477.295122350042 
  "PG 1048+343" 162.93291667 33.99075     15.81     0.167    QSO      8545.831139761838 
