int_id,ra,dec,z,psfMag_g,fiberID,plate,mjd,bestobjid
1,118.07435154276199,19.5950771388216,0.1170068,15.92508,612,1582,52939,1237661125071208589
2,178.897309487592,12.8816671729023,0.121609,16.95386,469,1610,53144,1237661813346009111
3,144.369080736716,32.763471337701304,0.1269882,16.35206,466,1943,53386,1237664870287736963
4,208.526762510247,23.430392057193302,0.05523464,16.31171,517,2783,54524,1237665566604525581
5,231.49389245027,18.237816488266002,0.12996939999999998,16.65883,483,2794,54537,1237665566614159471
6,241.332098636342,14.8145245515024,0.3722553,16.69633,468,2524,54568,1237665566618550423
7,175.77512047772598,18.7285827094439,0.3743551,16.76234,9,2506,54179,1237667914342793240
8,2.39524844113998,18.0619462800909,0.30967259999999996,16.65883,207,7594,56947,1237679457073627157
9,185.04952257827802,2.06172905759909,0.24023150000000001,15.87744,280,519,52283,1237651735759159344
10,137.541733247559,48.2282532111393,0.11645239999999998,16.870820000000002,610,7314,56990,1237657772316622887
11,228.896885632621,48.09183288658279,0.311537,16.41499,220,8431,57482,1237659162269777994
12,161.676219722614,39.3383357557092,0.39003909999999997,16.41776,521,8821,57731,1237661382241353805
13,222.104575116879,35.996289179894,0.1132963,16.961389999999998,682,10751,58220,1237662194539298898
14,171.16326018325398,42.0291701487849,0.2248686,15.977910000000001,358,1443,53055,1237662195058933794
15,154.956208781894,33.367701969040496,0.02291058,16.28752,136,1955,53442,1237664337708187670
16,176.691755596947,37.2532519480949,0.2947017,16.86649,59,1997,53442,1237664338252988445
17,211.75163497361999,28.4540762680609,0.07700984,16.05963,443,2123,53793,1237665430243704865
18,232.92191223165,20.3249699130623,0.04937034,16.6885,457,2164,53886,1237665440994427031
19,246.768001786105,14.3568889163002,0.1490557,16.99149,592,2202,53566,1237665441000784065
20,204.566156793895,4.54261035287786,0.02294176,16.61407,111,853,52374,1237671958054502484
21,216.951193409602,5.03945277110909,0.1058275,16.29135,368,585,52027,1237654881274757156
22,156.380340654881,51.6763454652527,0.04458556,16.141189999999998,558,1008,52707,1237657590852681764
23,187.592404622092,66.3651640667223,0.1842309,16.87714,124,494,51915,1237658607148531745
24,184.47907607684,58.6599030869107,0.02310827,16.654420000000002,403,1315,52791,1237658608755736616
25,208.871117445577,35.3922573585327,0.31478049999999996,16.97568,255,8878,57785,1237664853641658425
26,232.16922044867002,28.4249564828155,0.44737780000000005,16.28151,630,1847,54176,1237664854187704371
27,208.358835443315,36.3470773820373,0.2848447,15.800239999999999,512,2033,53476,1237664854715138070
28,211.59121747500302,22.3962597961794,0.09831072,16.07289,10,2784,54529,1237667911140835354
29,191.646873232519,2.36911431727659,0.04813080000000001,16.352529999999998,173,522,52024,1237671763713851428
30,230.521133245336,1.44072226736375,0.11330470000000001,16.99887,240,2953,54560,1237655468599804071
31,253.64933424651198,33.0476112337525,0.1218863,16.92994,31,1175,52791,1237655471824437368
32,149.881984191302,50.7469690624544,0.143485,16.83845,707,7282,56660,1237657632190562344
33,184.291190832023,7.1915682501494,0.007548481,16.76701,32,1624,53386,1237661971185270795
34,13.023213312097301,0.593933783841864,0.4000103,16.68117,77,9412,58096,1237663784739995674
35,210.759610325855,33.3342970565756,0.34165500000000004,16.65577,459,2121,54180,1237665103820095515
36,209.106495899665,25.256600566887396,0.1637161,16.33354,479,2119,53792,1237665531709947914
37,222.65771752298699,22.7343334824488,0.02095448,16.81456,491,2144,53770,1237665532252323890
38,221.131761583409,15.612011511956599,0.04960209,16.70567,5,2762,54533,1237668297145516085
39,340.826878684244,32.766777555306895,0.48718729999999993,16.6824,520,7141,56565,1237672764436185523
40,13.4423178994713,22.539550679888002,0.1485672,16.71861,603,7620,56904,1237679478012575854
41,177.308022899608,-1.74830039926762,0.45807659999999994,16.75572,577,329,52056,1237650371554508818
42,206.08697400711202,66.6215557355974,0.12773410000000002,16.53604,466,497,51989,1237651273514745920
43,120.383175437703,47.604459171383894,0.1568366,16.24095,384,438,51884,1237651274031628444
44,45.089176632048904,-7.24968605215563,0.388484,16.94013,922,7059,56592,1237652901304533008
45,180.94873551320703,52.1304940675038,0.1773402,15.8166,320,883,52430,1237657628991225893
46,188.732945100603,15.565635411038198,0.04582256,16.89869,547,1768,53442,1237661070338555922
47,47.615955313200395,-0.8307899198643259,0.08017637,16.10538,129,412,52258,1237663783144521731
48,140.92917326637698,22.9090577211661,0.03310638,15.85028,578,2290,53727,1237667254535258208
49,208.648701040843,18.0881845867872,0.1514729,16.48697,228,2756,54508,1237668297677013119
50,188.01510498316003,20.1582063449431,0.06355042,15.899939999999999,342,2613,54481,1237668298205364227
51,221.66757382177997,16.4006280944715,0.05418641,16.97924,423,2763,54507,1237668298219389033
52,350.736050751221,18.971269414355,0.1418399,16.9569,430,7604,56947,1237672766054006804
53,9.05209951960404,5.8310752074532495,0.41478009999999993,16.51268,79,8748,58396,1237678663038533695
54,154.802353512683,63.9674106377648,0.04151702,15.99857,161,488,51914,1237651272431829033
55,187.02875903806998,67.14559050578829,0.443349,16.91778,266,494,51915,1237651272437792771
56,28.8751201525089,-8.951135451058109,0.164699,16.97454,734,7184,56629,1237652900760584218
57,233.96833826454102,57.902637526946705,0.03022659,15.276179999999998,108,615,52347,1237654949448450067
