int_id,ra,dec,g,z,nspec,bestobjid
34,13.02321,0.5939338,16.68117,0.3996431,3,1237663784739995674
47,47.61596,-0.8307899,16.10538,0.08017143,8,1237663783144521731
84,15.60966,-0.6512572,16.15622,0.2942613,3,1237663783130497044
151,153.5078,46.33159,16.68918,0.321395,3,1237658205575970929
165,146.9833,53.83342,16.81651,0.4871534,3,1237655108368662532
184,117.2771,45.17608,16.89018,0.1921579,3,1237663546898317389
188,119.582,42.32643,16.61562,0.2110851,4,1237673310430494741
242,25.0711,-0.834175,16.14605,0.3340511,4,1237663783134625892
256,163.1552,24.1076,16.1135,0.3971013,4,1237667551418253375
258,23.5758,0.2601968,16.81288,0.3996014,4,1237657071157444676
309,143.7605,43.51963,15.7502,0.4562829,3,1237657628442951821
315,160.2999,28.46808,16.39174,0.210506,3,1237667255080124453
361,50.55792,0.9204017,16.89125,0.1846759,3,1237660241924522032
377,41.7163,-0.9919379,16.93854,0.4675294,3,1237657584950902794
401,143.8629,26.28602,16.67719,0.1222322,3,1237667113334341639
402,154.3261,29.24279,16.8741,0.04895768,3,1237667113338601477
