int_id,nspec,fiberID,plate,mjd
34,3,421,692,52201
34,3,510,1132,52903
34,3,77,9412,58096
47,8,122,412,51871
47,8,133,412,51931
47,8,132,412,51936
47,8,132,412,51942
47,8,129,412,52235
47,8,131,412,52250
47,8,131,412,52254
47,8,129,412,52258
84,3,276,396,51816
84,3,436,7874,57279
84,3,602,9388,58074
151,3,605,943,52376
151,3,270,6662,56364
151,3,578,7385,56710
165,3,225,769,52282
165,3,238,769,54530
165,3,444,8188,57348
184,3,620,1736,53052
184,3,795,8276,57067
184,3,411,8305,57749
188,4,222,437,51869
188,4,234,437,51876
188,4,998,3674,55182
188,4,871,8291,57391
242,4,247,401,51788
242,4,57,698,52203
242,4,742,7845,56980
242,4,998,9379,58081
256,4,555,2481,54068
256,4,532,2481,54086
256,4,30,6417,56308
256,4,633,10467,58138
258,4,512,400,51820
258,4,395,698,52203
258,4,738,7847,57012
258,4,530,9399,58125
309,3,80,870,52325
309,3,321,940,52670
309,3,764,4638,55956
315,3,575,2356,53786
315,3,364,10471,58132
315,3,40,11353,58467
361,3,328,414,51869
361,3,341,414,51901
361,3,329,1181,53358
377,3,213,409,51871
377,3,320,7822,57041
377,3,711,9311,57743
401,3,566,2294,53733
401,3,577,2294,54524
401,3,732,9630,58086
402,3,612,2348,53757
402,3,392,2351,53772
402,3,392,2351,53786
