int_id,get_nearby_distance,z,fiberID,plate,mjd,bestobjid,specobjid
1,0.000226739389935868,0.1170068,612,1582,52939,1237661125071208589,1781341927212345344
2,0.00135135511618212,0.121609,469,1610,53144,1237661813346009111,1812827820502575104
3,0.00168568156635275,0.1269882,466,1943,53386,1237664870287736963,2187751668907534336
4,0.000888956076527462,0.05523464,517,2783,54524,1237665566604525581,3133521628521064448
5,0.000512220322649294,0.1299694,483,2794,54537,1237665566614159471,3145897181865601024
6,0.000830005128720641,0.3722553,468,2524,54568,1237665566618550423,2841900084369582080
7,0.00102064507218284,0.3743551,9,2506,54179,1237667914342793240,2821507710560790528
8,5.21391325683431E-05,0.3096726,207,7594,56947,1237679457073627157,8550140908842274816
9,0.000951907483233944,0.2402315,280,519,52283,1237651735759159344,584419055767676928
10,0.00138738792643394,0.1169703,58,765,52254,1237657772316622887,861329409469081600
10,0.00029041843314332,0.1164524,610,7314,56990,1237657772316622887,8234999711444258816
11,0.00114024288165061,0.311276,98,1330,52822,1237659162269777994,1497473861480900608
11,0.000372410385078489,0.311537,220,8431,57482,1237659162269777994,9492522713258151936
12,0.000185395478771199,0.3902647,134,1433,53035,1237661382241353805,1613451451063887872
12,0.000183230556408611,0.3900391,521,8821,57731,1237661382241353805,9931706419354292224
13,0.000601616959663944,0.1133184,476,1383,53116,1237662194539298898,1557250465324886016
13,0.000560725853635744,0.1132963,682,10751,58220,1237662194539298898,12104737503107633152
14,0.000782733236102491,0.2248686,358,1443,53055,1237662195058933794,1624772023119013888
15,0.00069280508258249,0.02291058,136,1955,53442,1237664337708187670,2201171759019878400
16,0.000491199233716323,0.2947017,59,1997,53442,1237664338252988445,2248438389508433920
16,0.00017478593995598,0.2951808,959,8873,57427,1237664338252988445,9990373605933076480
17,0.0019983378858778,0.07700984,443,2123,53793,1237665430243704865,2390407336775673856
18,0.00103940018344412,0.04937034,457,2164,53886,1237665440994427031,2436573082807199744
19,0.000413308982617592,0.1490557,592,2202,53566,1237665441000784065,2479394382415947776
20,0.00217368438342536,0.02294176,111,853,52374,1237671958054502484,960423171813566464
21,0.00138602608119094,0.1058275,368,585,52027,1237654881274757156,658752634580133888
22,0.000602923180294873,0.04458556,558,1008,52707,1237657590852681764,1135060533385390080
23,0.000467412409952382,0.1842309,124,494,51915,1237658607148531745,556228670969112576
24,0.000552185301634182,0.02310827,403,1315,52791,1237658608755736616,1480669200119785472
25,0.000298167185411284,0.3144614,348,1838,53467,1237664853641658425,2069499744454993920
25,0.000212808295204491,0.3147805,255,8878,57785,1237664853641658425,9995809597427044352
26,4.35040373696724E-05,0.4473778,630,1847,54176,1237664854187704371,2079710371081381888
27,0.000582920467831739,0.2848447,512,2033,53476,1237664854715138070,2289095306417039360
28,0.000378927405266339,0.09831072,10,2784,54529,1237667911140835354,3134508165412972544
29,0.00103243932849362,0.0481308,173,522,52024,1237671763713851428,587767339206862848
30,0.000328448409482785,0.1133047,240,2953,54560,1237655468599804071,3324848472108066816
31,0.000619614990962139,0.1218863,31,1175,52791,1237655471824437368,1322940958580434944
32,0.00111883736640316,0.1434333,363,1006,52708,1237657632190562344,1132755132396627968
32,0.000798901866431394,0.143485,707,7282,56660,1237657632190562344,8198997572045787136
33,0.00174375868962108,0.007548481,32,1624,53386,1237661971185270795,1828470301613123584
34,0.00093649910344928,0.3996431,421,692,52201,1237663784739995674,779238496060598272
34,0.00093649910344928,0.3996353,510,1132,52903,1237663784739995674,1274658930982676480
34,2.72625555208487E-05,0.4000103,77,9412,58096,1237663784739995674,10596991224631283712
35,0.000554461165506614,0.341655,459,2121,54180,1237665103820095515,2388159941501282304
36,0.000523291634044271,0.1637161,479,2119,53792,1237665531709947914,2385913632736176128
37,0.000371375165122977,0.02095448,491,2144,53770,1237665532252323890,2414064428573026304
38,0.000127110885005279,0.04960209,5,2762,54533,1237668297145516085,3109736993140008960
39,0.000360659530952512,0.4871873,520,7141,56565,1237672764436185523,8040194281418543104
40,1.32872342738227E-05,0.1485672,603,7620,56904,1237679478012575854,8579523157349912576
41,0.00201354133333782,0.4580766,577,329,52056,1237650371554508818,370579708397512704
42,0.000359549776887432,0.1277341,466,497,51989,1237651273514745920,559700380175329280
43,0.000459569295687653,0.1568366,384,438,51884,1237651274031628444,493249743921637376
44,0.000412878266955783,0.3880886,383,458,51929,1237652901304533008,515767467935557632
44,0.00108832212752859,0.388484,922,7059,56592,1237652901304533008,7947980990429024256
45,0.00111177623281541,0.1773402,320,883,52430,1237657628991225893,994257619440920576
46,0.00154136127105124,0.04582256,547,1768,53442,1237661070338555922,1990741451260061696
47,0.00110923095284024,0.08017143,122,412,51871,1237663783144521731,463904328114006016
47,0.00110923095284024,0.0801526,133,412,51931,1237663783144521731,463907352777615360
47,0.00110923095284024,0.08014693,132,412,51936,1237663783144521731,463907077983594496
47,0.00110923095284024,0.08014796,132,412,51942,1237663783144521731,463907078084257792
47,0.00110923095284024,0.08020398,129,412,52235,1237663783144521731,463906258366261248
47,0.00110923095284024,0.08018456,131,412,52250,1237663783144521731,463906808373733376
47,0.00110923095284024,0.08017954,131,412,52254,1237663783144521731,463906808440842240
47,0.00110923095284024,0.08017637,129,412,52258,1237663783144521731,463906258752137216
48,0.0008018256439199,0.03310638,578,2290,53727,1237667254535258208,2578469728628533248
49,0.00146414201450339,0.1514729,228,2756,54508,1237668297677013119,3103042891052771328
50,0.000223225172701917,0.06355042,342,2613,54481,1237668298205364227,2942070540002682880
51,0.000608611021085769,0.05418641,423,2763,54507,1237668298219389033,3110977791575746560
52,0.000200058238726461,0.1418399,430,7604,56947,1237672766054006804,8561461205683949568
53,1.62492197848085E-05,0.4147801,79,8748,58396,1237678663038533695,9849394241276760064
54,0.00114507596618774,0.04151702,161,488,51914,1237651272431829033,549483441993836544
55,0.00220424614499854,0.443349,266,494,51915,1237651272437792771,556267703631898624
56,0.00253659988760542,0.1647034,597,665,52168,1237652900760584218,748887576533821440
56,0.000272695887476211,0.164699,734,7184,56629,1237652900760584218,8088666802358603776
57,0.000392881710898684,0.0302201,83,615,52345,1237654949448450067,692451296917088256
57,0.000392881710898684,0.03022659,108,615,52347,1237654949448450067,692458168898316288
58,0.00069679265193097,0.284112,220,1010,52649,1237657589780316167,1137219423493449728
58,8.82526398950101E-05,0.284092,958,8167,57071,1237657589780316167,9195487990851588096
59,0.00175592426570828,0.3949879,489,1229,52723,1237658493354115106,1383865446490466304
60,0.000656386874814397,0.05435376,367,1345,52814,1237661852549709864,1514436302106290176
61,0.00106015254113319,0.0392371,640,1575,53493,1237662620264497244,1773468333740419072
62,0.0010213679285652,0.4674143,11,1714,53521,1237662636368330851,1929795523057838080
63,0.0012236343150049,0.1188412,568,1727,53859,1237662636374949957,1944585334511659008
64,0.00083739337274494,0.08976129,250,2109,53468,1237665227312136208,2374591681191241728
65,0.00032549525114031,0.03339824,532,2525,54569,1237667782322028653,2843043576479246336
66,0.000763329127673198,0.08366632,148,2972,54586,1237671936043909353,3346215282006845440
67,0.000717702616642834,0.033103,76,1171,52753,1237659326565449796,1318449727821342720
68,0.00191621122841276,0.399824,355,812,52352,1237659327097864217,914328345473214464
68,7.61028829280181E-05,0.3996714,896,8429,57893,1237659327097864217,9490456737804996608
69,0.00243055624174007,0.3679648,413,1873,54437,1237663789569474622,2108924124532336640
70,0.00153077420705592,0.05436408,11,1869,53327,1237663915728568373,2104310005363664896
71,0.000167780939904306,0.1829528,61,2016,53799,1237665129622339736,2269831043483723776
72,0.000187597609557922,0.3557244,341,2155,53820,1237665178452557856,2426408096701114368
73,0.000337904574378181,0.06449452,637,2142,54208,1237665180061335571,2411852768282175488
74,0.00119634948153841,0.261786,177,706,52199,1237666407922991134,794934024513546240
74,0.000122498517341651,0.2615414,530,9371,58073,1237666407922991134,10550953847756705792
75,0.000857813426738723,0.300457,12,2769,54527,1237667735592435753,3117620216532592640
76,2.13322326001266E-05,0.4280129,108,7856,57260,1237678595947823134,8845099476773523456
77,0.000618360184400775,0.04702275,510,725,52258,1237653438155128872,816417658076424192
78,0.00202046240872151,0.005893506,83,916,52378,1237655497594896459,1031347169430366208
79,0.00126080611095671,0.02309059,348,1665,52976,1237661059573875305,1874719052333606912
79,0.00221961747711029,0.02313472,349,1666,52991,1237661059573875305,1875845227370014720
80,0.000845403845244292,0.4285249,526,1645,53172,1237662305117339725,1852249985752524800
80,0.000262018990270205,0.4286717,983,10757,58223,1237662305117339725,12111575640849010688
81,0.000641924425333825,0.03571216,620,1651,53442,1237662305122910284,1859031228246681600
82,0.00035598477882594,0.2323568,515,1653,53534,1237662305124614166,1861254167423641600
83,0.000162628532058725,0.4759721,58,1380,53084,1237662305652768807,1553757866102384640
83,0.000117131201014478,0.4769755,688,10756,58226,1237662305652768807,12110368652009951232
84,0.00184828063962012,0.2942613,276,396,51816,1237663783130497044,445932259879446528
84,2.46892560890849E-05,0.2937849,436,7874,57279,1237663783130497044,8865455835368935424
84,2.44661381700979E-05,0.2943392,602,9388,58074,1237663783130497044,10570113937399107584
85,0.000550832928622411,0.1395377,382,1923,53319,1237664836996891003,2165210579902425088
86,0.000418238097474285,0.05079341,534,1931,53358,1237664837002395706,2174259561253332992
